section,in_resume,title,loc,institution,start,end,description_1,description_2,description_3,description_4,description_5,description_6
education,TRUE,"PhD, Data Science & Engineering","University of Tennessee, Knoxville","Knoxville, TN",NA,2026,NA,NA,NA,NA,NA,NA
education,TRUE,"MS, Biostatistics",Vanderbilt University,"Nashville, TN",NA,2017,NA,NA,NA,NA,NA,NA
education,TRUE,"BS, Mathematics",Belmont University,"Nashville, TN",NA,2014,NA,NA,NA,NA,NA,NA
research_positions,TRUE,Graduate Research Assistant,"Knoxville, TN",Oak Ridge National Laboratory,2020,2026,"Developing systems biology multi-omics data tools for integration, visualization, and biological interpretation",NA,NA,NA,NA,NA
research_positions,TRUE,Graduate Research Assistant,"Nashville, TN",Vanderbilt University,2014,2017,Developed reproducible data cleaning scripts and visualizations ,NA,NA,NA,NA,NA
research_positions,TRUE,"Summer Institute in Training in Biostatistics, NIH",University of South Florida,"Tampa, FL",2013,2014,"Presentation: ""Non-small Cell Lung Cancer - Analyzing the Data""",NA,NA,NA,NA,NA
industry_positions,TRUE,Data Scientist,Oak Ridge National Laboratory,"Oak Ridge, TN",2020,2026,"Developed the MENTOR R software package which is a computational framework for integrating, visualizing, and interpreting large-scale multi-omics datasets",Applied MENTOR to Niemann-Pick Type C disease research to study early molecular mechanisms of NPC neurodegeneration using single-cell transcriptomic and proteomics datasets from mouse models,Developed the MOANA R Shiny application which allows researchers to explore and visualize multi-omics data through an intuitive web interface,Designed and executed high-performance computing workflows on ORNL supercomputers using MPI to run large-scale network and statistical analyses,"Developed data processing and analysis pipelines for large-scale single-cell transcriptomic datasets including data integration, dimensionality reduction, clustering, visualization, and differential expression analysis",NA
industry_positions,TRUE,Sr. Data Scientist,naviHealth,"Brentwood, TN",2017,2019,Developed a patient-facing Skilled Nursing Facility (SNF) selection tool which identifies top SNFs based on the patient's specific needs,NA,NA,NA,NA,NA
industry_positions,FALSE,Mathematics and Office Assistant,Belmont University,"Nashville, TN",2013,2014,"Provided mathematics tutoring for students in statistics, algebra, calculus, and quantitative methods in business",Performed various duties within the mathematics department as an office assistant,NA,NA,NA,NA
teaching_positions,TRUE,Professor of Statistics,Belmont University,"Nashville, TN",2017,2019,"Covers descriptive measures, probability distributions, one and two sample confidence intervals and hypothesis tests, and linear regression analysis",NA,NA,NA,NA,NA
teaching_positions,FALSE,Graduate Teaching Assistant,Vanderbilt University - Biostatistics Department,"Nashville, TN",2017,2018,Advanced Statistical Learning and Inference,Advanced Statistical Computing,NA,NA,NA,NA
awards,TRUE,The Relentless Optimism Award,UT-ORII,"Knoxville, TN",NA,2024,NA,NA,NA,NA,NA,NA
awards,TRUE,The Catalyst Award,naviHealth,"Brentwood, TN",NA,2018,NA,NA,NA,NA,NA,NA
awards,TRUE,"The Raymond H. Medley, Jr. Outstanding Senior Award",Belmont University,"Nashville, TN",NA,2014,NA,NA,NA,NA,NA,NA
industry_positions,FALSE,Delek Corporation Internship,Delek US,"Brentwood, TN",2014,2014,NA,NA,NA,NA,NA,NA
academic_articles,TRUE,The cholesterol transporter NPC1 is essential for epigenetic regulation and maturation of oligodendrocyte lineage cells ,"Thaddeus J. Kunkel, Alice Townsend, Kyle A. Sullivan, Jean Merlet, Edward H Schuchman, Daniel A. Jacobson, Andrew P. Lieberman",NA,NA,2023,Nature Communications https://doi.org/10.1038/s41467-023-39733-6,NA,NA,NA,NA,NA
academic_articles,TRUE,Advances in the Application of Single-Cell Transcriptomics in Plant Systems and Synthetic Biology ,"Torikul Islam, Yang Liu, Mahmudul Hassan, Paul E. Abraham, Jean Merlet, Alice Townsend, Daniel Jacobson, Chung-Jui Tsai, C. Robin Buell, Gerald A. Tuskan, and Xiaohan Yang ",NA,NA,2024,BioDesign Research https://doi-org.ornl.idm.oclc.org/10.34133/bdr.0029,NA,NA,NA,NA,NA
academic_articles,TRUE,Multiomic Network Analysis Identifies Dysregulated Neurobiological Pathways in Opioid Addiction,"Sullivan, K.A., Kainer, D., Lane, M., Cashman, M., Miller, J.I., Garvin, M.R., Townsend, A., Quach, B.C., Willis, C., Kruse, P. Gaddis, N.C., ... Jacobson, D ",NA,NA,2024,Biological Psychiatry https://doi-org.ornl.idm.oclc.org/10.1016/j.biopsych.2024.11.013,NA,NA,NA,NA,NA
academic_articles,TRUE,An emerging multi-omic understanding of the genetics of opioid addiction,"Eric O. Johnson, Heidi S. Fisher, Kyle A. Sullivan, Olivia Corradin, Sandra Sanchez-Roige, Nathan C. Gaddis, Yasmine N. Sami, Alice Townsend, Erica Teixeira Prates, Mirko Pavicic, Peter Kruse, Elissa J. Chesler, Abraham A. Palmer, Vanessa Troiani, Jason A. Bubier, Daniel A. Jacobson, and Brion S. Maher",NA,NA,2024,JCI https://doi.org/10.1172/JCI172886,NA,NA,NA,NA,NA
academic_articles,TRUE,MENTOR: Multiplex Embedding of Networks for Team-Based Omics Research,"Kyle A Sullivan, J Izaak Miller, Alice Townsend, Mallory Morgan, Matthew Lane, Mirko Pavicic, Manesh Shah, Mikaela Cashman, Daniel A Jacobson",NA,NA,2024,bioRxiv https://doi.org/10.1101/2024.07.17.603821,NA,NA,NA,NA,NA
skills,TRUE,Technical,"Programming (R, Python, Bash, SQL, LaTex, HTML/CSS, JavaScript, High-Performance Computing, MPI, Git/Github, Conda), Data science (Data cleaning, Statistical modeling, Hypothesis testing, Machine learning, Clustering, Dimensionality Reduction),  Bioinformatics (RNA-seq, single cell RNA-seq, Multi-omics integration, Enrichment analysis, Network biology), Data visualization (ggplot2, R Shiny, plotly, Adobe Illustrator, Tableau)",NA,NA,NA,NA,NA,NA,NA,NA,NA
skills,TRUE,Professional,"Scientific communication & data storytelling, Interdisciplinary collaboration, Project management, Algorithm & method development, Software development, Reproducible research & pipeline development, Leadership & mentoring",NA,NA,NA,NA,NA,NA,NA,NA,NA
