section,in_resume,title,loc,institution,start,end,description_1,description_2,description_3,description_4,description_5,description_6
education,TRUE,"PhD, Data Science & Engineering","University of Tennessee, Knoxville","Knoxville, TN",NA,2026,NA,NA,NA,NA,NA,NA
education,TRUE,"MS, Biostatistics",Vanderbilt University,"Nashville, TN",NA,2017,NA,NA,NA,NA,NA,NA
education,TRUE,"BS, Mathematics",Belmont University,"Nashville, TN",NA,2014,NA,NA,NA,NA,NA,NA
research_positions,FALSE,Graduate Research Assistant,"Knoxville, TN",Oak Ridge National Laboratory,2020,2026,"Developing systems biology multi-omics data tools for integration, visualization, and biological interpretation",NA,NA,NA,NA,NA
research_positions,FALSE,Graduate Research Assistant,"Nashville, TN",Vanderbilt University,2014,2017,Developed reproducible data cleaning scripts and visualizations ,NA,NA,NA,NA,NA
research_positions,FALSE,"Summer Institute in Training in Biostatistics, NIH",University of South Florida,"Tampa, FL",2013,2014,"Presentation: ""Non-small Cell Lung Cancer - Analyzing the Data""",NA,NA,NA,NA,NA
industry_positions,TRUE,Computational Biologist,Oak Ridge National Laboratory,"Oak Ridge, TN",2020,2026,"Developed the MENTOR R software package, a computational framework for integrating, visualizing, and interpreting multi-omics datasets",Applied MENTOR to Niemann-Pick Type C (NPC) disease research to study early molecular mechanisms of NPC neurodegeneration using single-cell transcriptomic and proteomics datasets from mouse models,Developed the MOANA R Shiny application that allows researchers to explore and visualize multi-omics data through an intuitive web interface,Designed and executed high-performance computing (HPC) workflows using MPI to analyze large-scale biological datasets on ORNL supercomputers,Developed pipelines for large-scale single-cell transcriptomic datasets,Presented computational results to interdisciplinary teams to inform research decisions
industry_positions,FALSE,Sr. Data Scientist,naviHealth,"Brentwood, TN",2017,2020,Developed a patient-facing Skilled Nursing Facility (SNF) selection tool with R Shiny that identifies top SNFs based on the patient's specific needs,Developed prototype with R for health care insurance companies to select an optimal SNF network based on clinical and geographical datasets,Applied AnyLogic simulation modeling to optimize Operations staffing requirements and resource allocation,Developed a natural language processing (NLP) pipeline to evaluate clinical note completeness and identify missing documentation elements in post-acute healthcare records,Led team meetings and communicated complex technical results to diverse audiences,NA
industry_positions,FALSE,Mathematics and Office Assistant,Belmont University,"Nashville, TN",2013,2014,"Provided mathematics tutoring for students in statistics, algebra, calculus, and quantitative methods in business",Performed various duties within the mathematics department as an office assistant,NA,NA,NA,NA
teaching_positions,FALSE,Professor of Statistics,Belmont University,"Nashville, TN",2017,2020,"Taught an Elementary Statistics course covering descriptive measures, probability distributions, sampling distributions, one and two sample inferences on means and proportions, linear regression, and correlation",NA,NA,NA,NA,NA
awards,FALSE,The Relentless Optimism Award,UT-ORII,"Knoxville, TN",NA,2024,"""This award recognizes a student who has overcome significant challenges in the last year with courage, respect, and resilience, reflecting the Volunteer Spirit. Winners of the Relentless Optimism Award exhibit the traits we aspire of Bredesen Center students, faculty, and staff be known for.""",NA,NA,NA,NA,NA
awards,FALSE,Data Science and Engineering Fellowship,"University of Tennessee, Knoxville","Knoxville, TN",NA,2020,"""This fellowship is offered through the Bredesen Center for Interdisciplinary Research and Graduate Education, which is operated by Oak Ridge National Laboratory and UTK.""",NA,NA,NA,NA,NA
awards,FALSE,The Catalyst Award,naviHealth,"Brentwood, TN",NA,2018,NA,NA,NA,NA,NA,NA
awards,FALSE,"The Raymond H. Medley, Jr. Outstanding Senior Award",Belmont University,"Nashville, TN",NA,2014,NA,NA,NA,NA,NA,NA
industry_positions,FALSE,Delek Corporation Internship,Delek US,"Brentwood, TN",2014,2014,NA,NA,NA,NA,NA,NA
academic_articles,FALSE,The cholesterol transporter NPC1 is essential for epigenetic regulation and maturation of oligodendrocyte lineage cells,"Thaddeus J. Kunkel\*, Alice Townsend\*, Kyle A. Sullivan, Jean Merlet, Edward H Schuchman, Daniel A. Jacobson, Andrew P. Lieberman",NA,NA,2023,Nature Communications https://doi.org/10.1038/s41467-023-39733-6,NA,NA,NA,NA,NA
academic_articles,FALSE,Advances in the Application of Single-Cell Transcriptomics in Plant Systems and Synthetic Biology ,"Torikul Islam, Yang Liu, Mahmudul Hassan, Paul E. Abraham, Jean Merlet, Alice Townsend, Daniel Jacobson, Chung-Jui Tsai, C. Robin Buell, Gerald A. Tuskan, and Xiaohan Yang ",NA,NA,2024,BioDesign Research https://doi-org.ornl.idm.oclc.org/10.34133/bdr.0029,NA,NA,NA,NA,NA
academic_articles,FALSE,Multiomic Network Analysis Identifies Dysregulated Neurobiological Pathways in Opioid Addiction,"Sullivan, K.A., Kainer, D., Lane, M., Cashman, M., Miller, J.I., Garvin, M.R., Townsend, A., Quach, B.C., Willis, C., Kruse, P. Gaddis, N.C., ... Jacobson, D ",NA,NA,2025,Biological Psychiatry https://doi-org.ornl.idm.oclc.org/10.1016/j.biopsych.2024.11.013,NA,NA,NA,NA,NA
academic_articles,FALSE,An emerging multi-omic understanding of the genetics of opioid addiction,"Eric O. Johnson, Heidi S. Fisher, Kyle A. Sullivan, Olivia Corradin, Sandra Sanchez-Roige, Nathan C. Gaddis, Yasmine N. Sami, Alice Townsend, Erica Teixeira Prates, Mirko Pavicic, Peter Kruse, Elissa J. Chesler, Abraham A. Palmer, Vanessa Troiani, Jason A. Bubier, Daniel A. Jacobson, and Brion S. Maher",NA,NA,2024,JCI https://doi.org/10.1172/JCI172886,NA,NA,NA,NA,NA
academic_articles,FALSE,MENTOR: Multiplex Embedding of Networks for Team-Based Omics Research,"Kyle A Sullivan\*, J Izaak Miller\*, Alice Townsend\*, Mallory Morgan\*, Matthew Lane, Mirko Pavicic, Manesh Shah, Mikaela Cashman, Daniel A Jacobson",NA,NA,2024,bioRxiv https://doi.org/10.1101/2024.07.17.603821,NA,NA,NA,NA,NA
academic_articles,FALSE,Codon-Optimized Npc1 mRNA corrects Niemann-Pick type C1 disease phenotypes in vitro and in vivo,"Ellen R. Koufer\*, Alice Townsend\*, Youngseo Na\*, Adele B. Correia\*, Noah K. Latham\*, Koralege C. Pathmasiri, Olga Ilnytska, Judith Storch, Kyle A. Sullivan, Troy Halseth, Thaddeus J. Kunkel, Elizabeth S. Phillippi, Matthew L. Lieberman, Stephanie M. Cologna, Andrew P. Lieberman, Daniel A. Jacobson, Anna S. Schwendeman, Mark L. Schultz",NA,NA,2026,Molecular Therapy Nucleic Acids - https://doi-org.ornl.idm.oclc.org/10.1016/j.omtn.2026.103022,NA,NA,NA,NA,NA
skills,TRUE,Technical,"Programming  - R, Python, Bash, Git/Github, SQL, LaTex, HTML/CSS, JavaScript<span class=""resume-spacing""></span>Data science - Statistical modeling, Machine Learning, data mining, data cleaning, exploratory data analysis, version control, HPC (MPI), Conda<span class=""resume-spacing""></span>Bioinformatics - transcriptomics, bulk RNA-seq, single-nuclei RNA-seq, single-cell RNA-seq, sequence alignment, differential expression analysis, enrichment analysis, genomics, variant calling, multi-omics integration, network biology<span class=""resume-spacing""></span>Databases - ABC Atlas, Ensembl, GEO, GO, GTEx, KEGG, Reactome, UniProt<span class=""resume-spacing""></span>Data visualization - ggplot2, R Shiny, plotly, Adobe Illustrator, Tableau",NA,NA,NA,NA,NA,NA,NA,NA,NA
skills,TRUE,Professional,"Scientific communication & data storytelling, interdisciplinary collaboration, algorithm & method development, software development, reproducible research & pipeline development, project management, leadership & mentoring",NA,NA,NA,NA,NA,NA,NA,NA,NA
activities,FALSE,Abstract Painter,Started painting in 2015 creating abstract works with acrylics,NA,NA,2026,NA,NA,NA,NA,NA,NA
activities,FALSE,Nashville Rock 'n Roll Marathon,Completed the Nashville Rock 'n Roll marathon (26.2 miles),NA,NA,2014,NA,NA,NA,NA,NA,NA
activities,FALSE,Summited Mt. Whitney,"Highest peak in the contiguous United States at 14,505 ft",NA,NA,2010,NA,NA,NA,NA,NA,NA
activities,FALSE,Chelsea Football Club Fan,Supporter of Chelsea F.C. since 1992,NA,NA,2026,NA,NA,NA,NA,NA,NA
